Minimum occurences,Recall Without,Precision Without,F1-measure Without,Nr Relations Without,Recall With,Precision With,F1-measure With,Nr Relations With
111,0.10077519379844961,0.5319148936170213,0.16944734098018768,47,0.09689922480620156,0.5853658536585366,0.16627407510045725,41
112,0.10077519379844961,0.5319148936170213,0.16944734098018768,47,0.09689922480620156,0.5853658536585366,0.16627407510045725,41
113,0.10077519379844961,0.5319148936170213,0.16944734098018768,47,0.09689922480620156,0.5853658536585366,0.16627407510045725,41
114,0.10077519379844961,0.5319148936170213,0.16944734098018768,47,0.09689922480620156,0.5853658536585366,0.16627407510045725,41
115,0.10077519379844961,0.5434782608695652,0.17002354172116138,46,0.09689922480620156,0.6,0.1668520578420467,40
116,0.10077519379844961,0.5434782608695652,0.17002354172116138,46,0.09689922480620156,0.6,0.1668520578420467,40
117,0.09689922480620156,0.5333333333333333,0.16400164001640016,45,0.09302325581395349,0.5897435897435898,0.16069868995633185,39
118,0.09689922480620156,0.5333333333333333,0.16400164001640016,45,0.09302325581395349,0.5897435897435898,0.16069868995633185,39
119,0.09689922480620156,0.5333333333333333,0.16400164001640016,45,0.09302325581395349,0.5897435897435898,0.16069868995633185,39
120,0.09689922480620156,0.5333333333333333,0.16400164001640016,45,0.09302325581395349,0.5897435897435898,0.16069868995633185,39
121,0.09689922480620156,0.5333333333333333,0.16400164001640016,45,0.09302325581395349,0.5897435897435898,0.16069868995633185,39
122,0.09689922480620156,0.5333333333333333,0.16400164001640016,45,0.09302325581395349,0.5897435897435898,0.16069868995633185,39
123,0.09689922480620156,0.5333333333333333,0.16400164001640016,45,0.09302325581395349,0.5897435897435898,0.16069868995633185,39
124,0.09689922480620156,0.5333333333333333,0.16400164001640016,45,0.09302325581395349,0.5897435897435898,0.16069868995633185,39
125,0.09689922480620156,0.5333333333333333,0.16400164001640016,45,0.09302325581395349,0.5897435897435898,0.16069868995633185,39
126,0.09689922480620156,0.5333333333333333,0.16400164001640016,45,0.09302325581395349,0.5897435897435898,0.16069868995633185,39
127,0.09689922480620156,0.5333333333333333,0.16400164001640016,45,0.09302325581395349,0.5897435897435898,0.16069868995633185,39
128,0.09689922480620156,0.5333333333333333,0.16400164001640016,45,0.09302325581395349,0.5897435897435898,0.16069868995633185,39
129,0.09689922480620156,0.5333333333333333,0.16400164001640016,45,0.09302325581395349,0.5897435897435898,0.16069868995633185,39
